{['model'] = 'adder', ['name'] = 'Adder', ['brand'] = 'Truffade', ['price'] = 120000, ['categoryLabel'] = 'Super', ['shop'] = 'luxury'},
{['model'] = 'conada', ['name'] = 'Conada', ['brand'] = 'Buckingham', ['price'] = 2500000, ['categoryLabel'] = 'Helicopters', ['shop'] = 'air'},
{['model'] = 'conada2', ['name'] = 'Weaponized Conada', ['brand'] = 'Buckingham', ['price'] = 25000000, ['categoryLabel'] = 'Helicopters', ['shop'] = 'military'},
{['model'] = 'contender', ['name'] = 'Contender', ['brand'] = 'Vapid', ['price'] = 165000, ['categoryLabel'] = 'SUVs', ['shop'] = 'pdm'},
{['model'] = 'coquette', ['name'] = 'Coquette', ['brand'] = 'Invetero', ['price'] = 125000, ['categoryLabel'] = 'Sports', ['shop'] = 'luxury'},
{['model'] = 'coquette2', ['name'] = 'Coquette Classic', ['brand'] = 'Invetero', ['price'] = 75000, ['categoryLabel'] = 'Sports Classics', ['shop'] = 'luxury'},
{['model'] = 'coquette3', ['name'] = 'Coquette BlackFin', ['brand'] = 'Invetero', ['price'] = 75000, ['categoryLabel'] = 'Muscle', ['shop'] = 'luxury'},
{['model'] = 'coquette4', ['name'] = 'Coquette D10', ['brand'] = 'Invetero', ['price'] = 650000, ['categoryLabel'] = 'Sports', ['shop'] = 'luxury'},
{['model'] = 'corsita', ['name'] = 'Corsita', ['brand'] = 'Lampadati', ['price'] = 750000, ['categoryLabel'] = 'Sports', ['shop'] = 'luxury'},
{['model'] = 'coureur', ['name'] = 'La Coureuse', ['brand'] = 'Penaud', ['price'] = 150000, ['categoryLabel'] = 'Sports', ['shop'] = 'luxury'},
{['model'] = 'cruiser', ['name'] = 'Cruiser', ['brand'] = 'Bike', ['price'] = 1500, ['categoryLabel'] = 'Cycles', ['shop'] = 'pdm'},
{['model'] = 'crusader', ['name'] = 'Crusader', ['brand'] = 'Canis', ['price'] = 15000, ['categoryLabel'] = 'Military', ['shop'] = 'pdm'},
{['model'] = 'cuban800', ['name'] = 'Company Cuban 800', ['brand'] = 'Western', ['price'] = 850000, ['categoryLabel'] = 'Planes', ['shop'] = 'air'},
{['model'] = 'cutter', ['name'] = 'Cutter', ['brand'] = 'HVY', ['price'] = 850000, ['categoryLabel'] = 'Industrial', ['shop'] = 'truck'},
{['model'] = 'carnotfound', ['name'] = 'Unknown', ['brand'] = 'NULL', ['price'] = 15000, ['categoryLabel'] = 'Compacts', ['shop'] = 'emergency'},
{['model'] = 'aleutian', ['name'] = 'Unknown', ['brand'] = 'Aleutian', ['price'] = 45000, ['categoryLabel'] = 'SUVs', ['shop'] = 'pdm'},
{['model'] = 'cyclone', ['name'] = 'Cyclone', ['brand'] = 'Coil', ['price'] = 550000, ['categoryLabel'] = 'Super', ['shop'] = 'luxury'},
{['model'] = 'cypher', ['name'] = 'Cypher', ['brand'] = 'Übermacht', ['price'] = 110000, ['categoryLabel'] = 'Sports', ['shop'] = 'luxury'},
{['model'] = 'daemon', ['name'] = 'Daemon', ['brand'] = 'WMC', ['price'] = 9500, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'daemon2', ['name'] = 'Daemon Custom', ['brand'] = 'Western', ['price'] = 35000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'deathbike', ['name'] = 'Deathbike Apocalypse', ['brand'] = 'Deathbike', ['price'] = 1000000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'military'},
{['model'] = 'deathbike2', ['name'] = 'Deathbike Future Shock', ['brand'] = 'Deathbike', ['price'] = 1000000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'military'},
{['model'] = 'deathbike3', ['name'] = 'Deathbike Nightmare', ['brand'] = 'Deathbike', ['price'] = 1000000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'military'},
{['model'] = 'defiler', ['name'] = 'Defiler', ['brand'] = 'Shitzu', ['price'] = 60000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'deity', ['name'] = 'Deity', ['brand'] = 'Enus', ['price'] = 120000, ['categoryLabel'] = 'Sedans', ['shop'] = 'pdm'},
{['model'] = 'deluxo', ['name'] = 'Deluxo', ['brand'] = 'Imponte', ['price'] = 15000000, ['categoryLabel'] = 'Sports Classics', ['shop'] = 'military'},
{['model'] = 'deveste', ['name'] = 'Deveste', ['brand'] = 'Principe', ['price'] = 1200000, ['categoryLabel'] = 'Super', ['shop'] = 'none'},
{['model'] = 'deviant', ['name'] = 'Deviant', ['brand'] = 'Schyster', ['price'] = 75000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'diablous', ['name'] = 'Diablous', ['brand'] = 'Principe', ['price'] = 75000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'diablous2', ['name'] = 'Diablous Custom', ['brand'] = 'Principe', ['price'] = 110000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'dilettan', ['name'] = 'Unknown', ['brand'] = 'Dilettante', ['price'] = 1100, ['categoryLabel'] = 'Compacts', ['shop'] = 'pdm'},
{['model'] = 'dilettan', ['name'] = 'Unknown', ['brand'] = 'Dilettante', ['price'] = 1500, ['categoryLabel'] = 'Compacts', ['shop'] = 'pdm'},
{['model'] = 'dinghy', ['name'] = 'Dinghy 2-Seater', ['brand'] = 'Nagasaki', ['price'] = 1500, ['categoryLabel'] = 'Boats', ['shop'] = 'boats'},
{['model'] = 'dinghy', ['name'] = 'Dinghy 2-Seater', ['brand'] = 'Nagasaki', ['price'] = 1500, ['categoryLabel'] = 'Boats', ['shop'] = 'boats'},
{['model'] = 'dinghy', ['name'] = 'Dinghy 2-Seater', ['brand'] = 'Nagasaki', ['price'] = 1500, ['categoryLabel'] = 'Boats', ['shop'] = 'boats'},
{['model'] = 'dinghy', ['name'] = 'Dinghy 2-Seater', ['brand'] = 'Nagasaki', ['price'] = 1500, ['categoryLabel'] = 'Boats', ['shop'] = 'boats'},
{['model'] = 'dinghy5', ['name'] = 'Dinghy', ['brand'] = 'Weaponized', ['price'] = 15000000, ['categoryLabel'] = 'Boats', ['shop'] = 'boats'},
{['model'] = 'dloader', ['name'] = 'Unknown', ['brand'] = 'Duneloader', ['price'] = 6500, ['categoryLabel'] = 'Off Road', ['shop'] = 'none'},
{['model'] = 'docktrailer', ['name'] = 'Unknown', ['brand'] = 'NULL', ['price'] = 15000, ['categoryLabel'] = 'Utility', ['shop'] = 'truck'},
{['model'] = 'docktug', ['name'] = 'Docktug', ['brand'] = 'HVY', ['price'] = 25000, ['categoryLabel'] = 'Utility', ['shop'] = 'truck'},
{['model'] = 'dodo', ['name'] = 'Dodo', ['brand'] = 'Mammoth', ['price'] = 650000, ['categoryLabel'] = 'Planes', ['shop'] = 'air'},
{['model'] = 'dominato', ['name'] = 'Unknown', ['brand'] = 'Dominator', ['price'] = 45000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dominato2', ['name'] = 'Dominator', ['brand'] = 'Pisswasser', ['price'] = 75000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dominator3', ['name'] = 'Dominator GTX', ['brand'] = 'Vapid', ['price'] = 125000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dominator4', ['name'] = 'Dominator Arena', ['brand'] = 'Vapid', ['price'] = 1250000, ['categoryLabel'] = 'Muscle', ['shop'] = 'military'},
{['model'] = 'dominator5', ['name'] = 'Shock Dominator', ['brand'] = 'Future', ['price'] = 1250000, ['categoryLabel'] = 'Muscle', ['shop'] = 'military'},
{['model'] = 'dominator6', ['name'] = 'Dominator', ['brand'] = 'Nightmare', ['price'] = 1250000, ['categoryLabel'] = 'Muscle', ['shop'] = 'military'},
{['model'] = 'dominator7', ['name'] = 'Dominator ASP', ['brand'] = 'Vapid', ['price'] = 95000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dominator8', ['name'] = 'Dominator GTT', ['brand'] = 'Vapid', ['price'] = 75000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dominator9', ['name'] = 'GT', ['brand'] = 'Dominator', ['price'] = 120000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dorado', ['name'] = 'Unknown', ['brand'] = 'Dorado', ['price'] = 45000, ['categoryLabel'] = 'SUVs', ['shop'] = 'pdm'},
{['model'] = 'double', ['name'] = 'Double-T', ['brand'] = 'Dinka', ['price'] = 55000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'drafter', ['name'] = '8F Drafter', ['brand'] = 'Obey', ['price'] = 65000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'draugur', ['name'] = 'Draugur', ['brand'] = 'Declasse', ['price'] = 650000, ['categoryLabel'] = 'Off Road', ['shop'] = 'luxury'},
{['model'] = 'drifteuros', ['name'] = 'Unknown', ['brand'] = 'Euros', ['price'] = 120000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'driftfr36', ['name'] = 'Unknown', ['brand'] = 'FR36', ['price'] = 120000, ['categoryLabel'] = 'Coupes', ['shop'] = 'pdm'},
{['model'] = 'driftfuto', ['name'] = 'GTX', ['brand'] = 'Futo', ['price'] = 120000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'driftjester', ['name'] = 'RR', ['brand'] = 'Jester', ['price'] = 120000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'driftremus', ['name'] = 'Unknown', ['brand'] = 'Remus', ['price'] = 120000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'drifttampa', ['name'] = 'Tampa', ['brand'] = 'Drift', ['price'] = 120000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'driftyosem', ['name'] = 'Yosemite', ['brand'] = 'Drift', ['price'] = 120000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'driftzr350', ['name'] = 'Unknown', ['brand'] = 'ZR350', ['price'] = 120000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'dubsta', ['name'] = 'Dubsta', ['brand'] = 'Benefactor', ['price'] = 125000, ['categoryLabel'] = 'SUVs', ['shop'] = 'luxury'},
{['model'] = 'dubsta', ['name'] = 'Dubsta', ['brand'] = 'Benefactor', ['price'] = 135000, ['categoryLabel'] = 'SUVs', ['shop'] = 'luxury'},
{['model'] = 'dubsta3', ['name'] = 'Dubsta 6x6', ['brand'] = 'Annis', ['price'] = 135000, ['categoryLabel'] = 'Off Road', ['shop'] = 'luxury'},
{['model'] = 'dukes', ['name'] = 'Dukes', ['brand'] = 'Imponte', ['price'] = 35000, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dukes2', ['name'] = 'Duke O'Death', ['brand'] = 'Imponte', ['price'] = 3500000, ['categoryLabel'] = 'Muscle', ['shop'] = 'military'},
{['model'] = 'dukes3', ['name'] = 'Beater Dukes', ['brand'] = 'Imponte', ['price'] = 3500, ['categoryLabel'] = 'Muscle', ['shop'] = 'pdm'},
{['model'] = 'dump', ['name'] = 'Dump Truck', ['brand'] = 'HVY', ['price'] = 35000000, ['categoryLabel'] = 'Industrial', ['shop'] = 'military'},
{['model'] = 'dune', ['name'] = 'Dune Buggy', ['brand'] = 'Annis', ['price'] = 3500, ['categoryLabel'] = 'Off Road', ['shop'] = 'pdm'},
{['model'] = 'dune2', ['name'] = 'Docker', ['brand'] = 'Space', ['price'] = 3500, ['categoryLabel'] = 'Off Road', ['shop'] = 'pdm'},
{['model'] = 'dune3', ['name'] = 'FAV', ['brand'] = 'Dune', ['price'] = 3500000, ['categoryLabel'] = 'Off Road', ['shop'] = 'military'},
{['model'] = 'dune4', ['name'] = 'Buggy', ['brand'] = 'Ramp', ['price'] = 3500000, ['categoryLabel'] = 'Off Road', ['shop'] = 'luxury'},
{['model'] = 'dune5', ['name'] = 'Buggy', ['brand'] = 'Ramp', ['price'] = 3500000, ['categoryLabel'] = 'Off Road', ['shop'] = 'luxury'},
{['model'] = 'duster', ['name'] = 'Company Duster', ['brand'] = 'Western', ['price'] = 150000, ['categoryLabel'] = 'Planes', ['shop'] = 'air'},
{['model'] = 'dynasty', ['name'] = 'Dynasty', ['brand'] = 'Weeny', ['price'] = 45000, ['categoryLabel'] = 'Sports Classics', ['shop'] = 'pdm'},
{['model'] = 'elegy', ['name'] = 'Elegy Retro Custom', ['brand'] = 'Annis', ['price'] = 45000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'elegy2', ['name'] = 'Elegy RH8', ['brand'] = 'Annis', ['price'] = 65000, ['categoryLabel'] = 'Sports', ['shop'] = 'pdm'},
{['model'] = 'ellie', ['name'] = 'Ellie', ['brand'] = 'Vapid', ['price'] = 120000, ['categoryLabel'] = 'Muscle', ['shop'] = 'luxury'},
{['model'] = 'emerus', ['name'] = 'Emerus', ['brand'] = 'Progen', ['price'] = 1200000, ['categoryLabel'] = 'Super', ['shop'] = 'luxury'},
{['model'] = 'emperor', ['name'] = 'Emperor', ['brand'] = 'Albany', ['price'] = 12000, ['categoryLabel'] = 'Sedans', ['shop'] = 'pdm'},
{['model'] = 'emperor', ['name'] = 'Emperor', ['brand'] = 'Albany', ['price'] = 1200, ['categoryLabel'] = 'Sedans', ['shop'] = 'pdm'},
{['model'] = 'emperor', ['name'] = 'Emperor', ['brand'] = 'Albany', ['price'] = 1200, ['categoryLabel'] = 'Sedans', ['shop'] = 'pdm'},
{['model'] = 'enduro', ['name'] = 'Enduro', ['brand'] = 'Dinka', ['price'] = 12000, ['categoryLabel'] = 'Motorcycles', ['shop'] = 'pdm'},
{['model'] = 'entity2', ['name'] = 'Entity XXR', ['brand'] = 'Överflöd', ['price'] = 750000, ['categoryLabel'] = 'Super', ['shop'] = 'pdm'},
